Module	Membership	Drug Targets	Essential Genes	Drug Fraction	Essential Fraction	Hypergeometric Score of Module Target	Hypergeometric Score of Module Essential
1	186	16.0	2.0	0.229	0.105	0.9144785392923489	0.9609547934463816
10	123	18.0	12.0	0.257	0.632	0.08772175062919463	4.908988911159686e-06
2	1	0.0	0.0	0.0	0.0	0.11513157894736847	0.03125000000000011
3	1	0.0	0.0	0.0	0.0	0.11513157894736847	0.03125000000000011
4	1	0.0	0.0	0.0	0.0	0.11513157894736847	0.03125000000000011
5	1	0.0	0.0	0.0	0.0	0.11513157894736847	0.03125000000000011
6	1	0.0	0.0	0.0	0.0	0.11513157894736847	0.03125000000000011
7	1	0.0	0.0	0.0	0.0	0.11513157894736847	0.03125000000000011
8	1	0.0	0.0	0.0	0.0	0.11513157894736847	0.03125000000000011
9	1	0.0	0.0	0.0	0.0	0.11513157894736847	0.03125000000000011
